"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Accessibility","0","Accessibility","3","0","","0"
"0","Accessibility","0","Accessibility","1","0","Gunning fog index","0"
"0","End to end","0","Inventory","11","0","","0"
"0","End to end","0","Authentication","55","0","Login","0"
"0","Performance","0","","10","0","","0"
"0","Load","0","","5","0","","0"
"0","End to end","0","Cart","3","0","","0"
"0","End to end","0","Checkout","8","0","","0"
"0","Accessibility","0","ARIA","3","0","","0"
"0","UI","0","Checkout","1","0","","0"
"0","UI","0","Inventory","2","0","","0"
"0","End to end","0","Footer","4","0","","0"
"0","UI","0","Cart","1","0","","0"
